Date,Price,Open,High,Low,Vol.,Change %,Name,Symbol
2/9/2026,"68,741.80","70,356.00","71,379.50","68,442.30",74.80K,-2.27%,Bitcoin,BTC
2/8/2026,"70,342.00","69,318.80","72,204.20","68,888.10",64.85K,1.48%,Bitcoin,BTC
2/7/2026,"69,319.50","70,556.00","71,570.40","67,397.40",113.64K,-1.75%,Bitcoin,BTC
2/6/2026,"70,555.70","62,863.80","71,696.00","60,187.00",234.06K,12.25%,Bitcoin,BTC
2/5/2026,"62,857.90","73,136.10","73,292.00","62,562.20",259.10K,-14.05%,Bitcoin,BTC
2/4/2026,"73,137.00","75,734.80","76,929.20","71,913.40",113.35K,-3.42%,Bitcoin,BTC
2/3/2026,"75,724.80","78,725.60","79,158.40","73,004.30",112.17K,-3.81%,Bitcoin,BTC
2/2/2026,"78,720.60","76,956.60","79,251.00","74,635.50",124.03K,2.27%,Bitcoin,BTC
2/1/2026,"76,976.10","78,720.60","79,355.00","75,766.80",76.61K,-2.22%,Bitcoin,BTC
1/31/2026,"78,726.50","84,227.70","84,240.80","75,993.40",105.81K,-6.54%,Bitcoin,BTC
1/30/2026,"84,235.50","84,657.00","84,705.10","81,201.50",109.59K,-0.51%,Bitcoin,BTC
1/29/2026,"84,667.10","89,261.50","89,304.70","83,405.70",95.05K,-5.14%,Bitcoin,BTC
1/28/2026,"89,253.20","89,224.50","90,520.90","88,820.70",50.90K,0.03%,Bitcoin,BTC
1/27/2026,"89,224.70","88,331.30","89,494.40","87,301.80",49.57K,1.01%,Bitcoin,BTC
1/26/2026,"88,331.30","86,644.30","88,810.80","86,520.80",65.76K,1.95%,Bitcoin,BTC
1/25/2026,"86,642.00","89,254.70","89,298.80","86,092.10",48.59K,-2.93%,Bitcoin,BTC
1/24/2026,"89,254.90","89,576.80","89,901.90","89,142.10",16.96K,-0.36%,Bitcoin,BTC
1/23/2026,"89,580.60","89,529.50","91,185.70","88,587.50",49.44K,0.07%,Bitcoin,BTC
1/22/2026,"89,520.50","89,433.10","90,330.60","88,536.10",41.98K,0.10%,Bitcoin,BTC
1/21/2026,"89,433.80","88,400.00","90,498.20","87,285.10",73.67K,1.17%,Bitcoin,BTC
1/20/2026,"88,400.30","92,617.80","92,857.50","87,911.40",72.37K,-4.55%,Bitcoin,BTC
1/19/2026,"92,617.80","92,886.30","93,386.90","92,083.10",49.95K,-1.13%,Bitcoin,BTC
1/18/2026,"93,671.60","95,141.40","95,522.60","93,618.70",25.30K,-1.54%,Bitcoin,BTC
1/17/2026,"95,141.40","95,547.10","95,628.40","95,037.60",17.34K,-0.43%,Bitcoin,BTC
1/16/2026,"95,549.60","95,585.70","95,839.40","94,288.80",43.13K,-0.04%,Bitcoin,BTC
1/15/2026,"95,585.10","96,942.40","97,181.40","95,132.80",74.07K,-1.39%,Bitcoin,BTC
